transaction_id,description,category,bucket
461,pos purchase at monthly allowance - parents,Income,dictionary
255,IMPS transfer - PG rent due for October,Bills,regex
27,picked up prescribed tablets today,Medical,nlp_hard
341,Spotify ott subscription renewal,Entertainment,regex
250,NEFT credit from BookMyShow,Entertainment,dictionary
350,Paid the landlord for this month,Bills,nlp_hard
225,NEFT credit from Faasos food delivery order,Food,regex
321,Topped up the mobile network balance,Bills,nlp_hard
172,Payment to Reliance Trends via UPI,Shopping,dictionary
3,hostel rent,Bills,dictionary
136,annual checkup at the clinic,Medical,nlp_hard
192,Auto-debit - Hostel mess food payment,Food,regex
474,Practo Consultation,Medical,dictionary
359,Consultation with the family doctor,Medical,nlp_hard
381,IMPS transfer - Local band concert ticket,Entertainment,regex
464,Spotify ott subscription renewal,Entertainment,regex
372,Auto-debit - Gaming Zone Arcade,Entertainment,dictionary
197,Workshop fee - ieee chapter,Education,regex
463,Seminar registration completed online,Education,nlp_hard
405,Payment to Freelance Payment - Upwork via UPI,Income,dictionary
368,NEFT credit from McDonald's,Food,dictionary
260,Id card renewal charge at admin office,Education,nlp_hard
53,POS purchase at Swiggy,Food,dictionary
242,St johns hospital bill,Medical,regex
57,shared a meal with roommates at the mess,Food,nlp_hard
422,Payment to Uber via UPI,Travel,dictionary
91,C3ntral Library fine cleared,Education,regex
429,NEFT credit from Metro medical store purchase,Medical,regex
404,Campus Cafeteria,Food,dictionary
398,UPI/ATMCashWithdrawal/Other,Other,dictionary
147,BESCOM Electricity,Bills,dictionary
251,UPI/RelianceTrends/Shopping,Shopping,dictionary
443,POS purchase at Coursera,Education,dictionary
238,Payment to Unidentified Merchant via UPI,Other,dictionary
412,New charger for the laptop,Shopping,nlp_hard
29,Shared an auto to the railway station,Travel,nlp_hard
227,Central library fine cleared,Education,regex
129,NEFT cr3dit from St Johns hospital bill,Medical,regex
295,Seminar registration completed online,Education,nlp_hard
88,R3imbursement credited from college,Income,nlp_hard
199,Certification exam booked for next month,Education,nlp_hard
6,upi/universitybookstore/education,Education,dictionary
334,prize money for winning the hackathon,Income,nlp_hard
467,Auto-debit - Coursera,Education,dictionary
183,Id card renewal charge at admin office,Education,nlp_hard
415,Rapido cab ride,Travel,regex
269,Payment to Croma via UPI,Shopping,dictionary
324,POS purchase at Campus Cafeteria,Food,dictionary
214,POS purchase at Hostel Rent,Bills,dictionary
78,Bought @ thermometer and bandages,Medical,nlp_hard
71,Paid the landlord for this month,Bills,nlp_hard
181,got paid for the tutoring session,Income,nlp_hard
395,gate exam fee payment,Education,regex
287,Paid for lunch with the project team,Food,nlp_hard
123,auto-debit - decathlon,Shopping,dictionary
455,Payment to BMTC Bus Pass via UPI,Travel,dictionary
33,Payment to Local Bookstore via UPI,Shopping,dictionary
193,City care pharmacy purchase,Medical,regex
389,weekend outing with friends at the arcade,Entertainment,nlp_hard
276,NEFT credit from Namma Metro card recharge,Travel,regex
110,netflix subscription,Bills,dictionary
190,Bought lab manual for the semester,Education,nlp_hard
150,NEFT credit from Metro supermarket bill,Shopping,regex
125,home broadband renewal,Bills,regex
444,Cleared this months electricity due,Bills,nlp_hard
370,NEFT credit from Jio Fiber Broadband,Bills,dictionary
348,Payment to University Bookstore via UPI,Education,dictionary
25,NEFT credit from Scholarship Disbursement,Income,dictionary
184,Train ticket for the trip next month,Travel,nlp_hard
15,wifi connection renewed for the flat,Bills,nlp_hard
265,pos purchase at infosys salary credited,Income,regex
272,Cle@red this months electricity due,Bills,nlp_hard
64,Infosys salary credited,Income,regex
209,Sent money to a friend for splitting rent,Other,nlp_hard
171,Rajesh Dhaba dinner,Food,regex
473,Donated a small amount to a fundraiser,Other,nlp_hard
449,Amount received from a part time gig,Income,nlp_hard
273,Spent the evening at a rooftop lounge,Entertainment,nlp_hard
187,Rapido cab ride,Travel,regex
307,Auto-debit - INOX Movies,Entertainment,dictionary
274,auto-debit - ksrtc bus ticket booking,Travel,regex
457,BMTC Bus Pass,Travel,dictionary
20,Flight booked for the semester break,Travel,nlp_hard
220,NEFT credit from Uber,Travel,dictionary
14,Home broadband renewal,Bills,regex
149,Bank Charges,Other,dictionary
456,Croma,Shopping,dictionary
275,Treated myself to a milkshake,Food,nlp_hard
459,UPI/ApolloPharmacy/Medical,Medical,dictionary
379,Bought lab manual for th3 semester,Education,nlp_hard
31,Metro medical store purchase,Medical,regex
116,P@id entry fee for the college fest,Entertainment,nlp_hard
330,Shared a meal with roommates at the mess,Food,nlp_hard
224,IMPS transfer - HP petrol pump fuel fill,Travel,regex
289,NEFT cr3dit from Flipkart,Shopping,dictionary
263,Meru taxi booking,Travel,regex
452,Cleared pending dues at the department office,Education,nlp_hard
63,Payment to SBI bank charge deducted via UPI,Other,regex
259,HDFC cashback credited,Income,regex
239,Parents sent money for the month,Income,nlp_hard
261,IRCTC tr@in ticket booking,Travel,regex
343,UPI/ApolloPharmacy/Medical,Medical,dictionary
355,IMPS transfer - Swasthi restaurant bill,Food,regex
211,NEFT credit from BMTC Bus Pass,Travel,dictionary
458,spent the evening at a rooftop lounge,Entertainment,nlp_hard
49,Payment to Third Wave Coffee via UPI,Food,dictionary
142,dental appointment payment,Medical,nlp_hard
175,Central library fine cleared,Education,regex
101,UPI/MiscellaneousPOS/Other,Other,dictionary
460,Ordered dessert after dinner,Food,nlp_hard
249,Auto-debit - Coursera,Education,dictionary
290,Workshop fee - ieee chapter,Education,regex
392,Payment to RedBus via UPI,Travel,dictionary
42,Thyrocar3 lab test payment,Medical,regex
2,Picked up a few things from the general store,Shopping,nlp_hard
97,Picked up a birthday present for a friend,Shopping,nlp_hard
48,Grabbed a quick bite between classes,Food,nlp_hard
378,Annual checkup at the clinic,Medical,nlp_hard
92,Auto-debit - DTH recharge - Tata Play,Bills,regex
134,UPI/NetflixSubscription/Bills,Bills,dictionary
54,Auto-debit - HDFC cashback credited,Income,regex
56,Annual maintenance charge for the apartment,Bills,nlp_hard
154,Bought snacks from the tuck shop,Food,nlp_hard
126,Payment to Thyrocare lab test payment via UPI,Medical,regex
36,Auto-debit - Netflix Subscription,Bills,dictionary
296,New bakery order,Food,regex
436,Skill lync course fee,Education,regex
377,Eye test at the optician,Medical,nlp_hard
85,Consultation with the family doctor,Medical,nlp_hard
286,Auto-debit - Faasos food delivery order,Food,regex
396,pos purchase at petty transfer to roommate,Other,regex
306,Bought a study table lamp,Shopping,nlp_hard
103,ordered dessert after dinner,Food,nlp_hard
390,meru taxi booking,Travel,regex
205,hostel mess food payment,Food,regex
304,Prize money for winning the hackathon,Income,nlp_hard
86,Exam Registration Fee,Education,dictionary
203,POS purchase at Domino's Pizza,Food,dictionary
174,Auto-debit - IndiGo Airlines,Travel,dictionary
67,bought lab manual for the semester,Education,nlp_hard
308,Donated a small amount to a fundraiser,Other,nlp_hard
302,ATM Cash Withdrawal,Other,dictionary
46,id card renewal charge at admin office,Education,nlp_hard
11,POS purch@se at Third Wave Coffee,Food,dictionary
453,Payment to Vijay electronics store purchase via UPI,Shopping,regex
206,Topped up the mobile network balance,Bills,nlp_hard
229,NEFT credit from Reliance Trends,Shopping,dictionary
186,UPI Transfer - Friend,Other,dictionary
84,BMTC Bus Pass,Travel,dictionary
446,imps transfer - namma metro card recharge,Travel,regex
19,booked a cab to the airport early morning,Travel,nlp_hard
105,IMPS transfer - Domino's Pizza,Food,dictionary
431,Paid entry fee for the college fest,Entertainment,nlp_hard
117,Seminar registration completed online,Education,nlp_hard
262,Bought snacks from the tuck shop,Food,nlp_hard
433,Dth recharge - tata play,Bills,regex
315,NEFT credit from Jio Fiber Broadband,Bills,dictionary
403,Booked a ride back home for the weekend,Travel,nlp_hard
156,Payment to Metro supermarket bill via UPI,Shopping,regex
4,Booked a cab to the airport early morning,Travel,nlp_hard
178,Bought snacks from the tuck shop,Food,nlp_hard
122,City centre shopping mall purchase,Shopping,regex
77,Withdrew cash from the machine near campus,Other,nlp_hard
298,Warden collected the room deposit this week,Bills,nlp_hard
234,Auto-debit - 1mg Online Pharmacy,Medical,dictionary
266,Auto-debit - New Bakery order,Food,regex
7,train ticket for the trip next month,Travel,nlp_hard
10,UPI/ChaiPoint/Food,Food,dictionary
138,weekend outing with friends at the arcade,Entertainment,nlp_hard
244,Paid for the workshop materials,Education,nlp_hard
153,NEFT credit from Miscellaneous POS,Other,dictionary
159,Wifi connection renewed for the flat,Bills,nlp_hard
253,pos purchase at society maintenance charge,Bills,regex
35,Amazon India,Shopping,dictionary
337,Small charge deducted by the bank,Other,nlp_hard
384,Unclear charge on the statement,Other,nlp_hard
112,Auto-d3bit - IndiGo Airlines,Travel,dictionary
365,Auto-debit - Hostel Rent,Bills,dictionary
450,Amazon refund received,Income,regex
346,IMPS transfer - Local Tiffin Service,Food,dictionary
198,IMPS transfer - Flipkart,Shopping,dictionary
437,Vodafone idea electricity bill payment,Bills,regex
121,UPI/1mgOnlinePharmacy/Medical,Medical,dictionary
185,POS purchase at Corner cafe evening snack,Food,regex
118,Sent money to a friend for splitting rent,Other,nlp_hard
397,Trendz clothing store,Shopping,regex
325,Auto-d3bit - Skin clinic consultation,Medical,regex
124,NEFT credit from PG rent due for October,Bills,regex
94,NEFT credit from Fun World amusement park,Entertainment,regex
357,TCS stipend credited,Income,regex
293,POS purchase at Miscellaneous POS,Other,dictionary
160,Shar3d an auto to the railway station,Travel,nlp_hard
107,New charger for the laptop,Shopping,nlp_hard
200,Eye test at the optician,Medical,nlp_hard
81,bought a new pair of shoes,Shopping,nlp_hard
409,Grabbed a quick bite between classes,Food,nlp_hard
247,Paid back a friend for lending cash,Other,nlp_hard
82,Cleared this months electricity due,Bills,nlp_hard
204,imps transfer - bank charges,Other,dictionary
301,Got paid for the tutoring session,Income,nlp_hard
139,upi/localtiffinservice/food,Food,dictionary
311,NEFT credit from Monthly Allowance - Parents,Income,dictionary
218,neft credit from bookmyshow,Entertainment,dictionary
373,topped up the travel card,Travel,nlp_hard
256,POS purchase at McDonald's,Food,dictionary
369,Payment to ATM withdrawal at HDFC via UPI,Other,regex
8,NEFT credit from HP petrol pump fuel fill,Travel,regex
340,Picked up prescribed tablets today,Medical,nlp_hard
354,Shared a meal with roommates at the mess,Food,nlp_hard
254,PVR movie ticket booking,Entertainment,regex
438,NEFT credit from Domino's Pizza,Food,dictionary
400,Parents sent money for the month,Income,nlp_hard
16,Picked up @ birthday present for a friend,Shopping,nlp_hard
47,Bought a thermometer and bandages,Medical,nlp_hard
466,Topped up the travel card,Travel,nlp_hard
145,Subscribed to a music streaming service,Entertainment,nlp_hard
157,tickets booked for the concert downtown,Entertainment,nlp_hard
104,Metro medical store purchase,Medical,regex
280,Auto-debit - Monthly wifi bill - ACT Fibernet,Bills,regex
271,Sent money to @ friend for splitting rent,Other,nlp_hard
305,Auto-debit - Decathlon,Shopping,dictionary
327,book3d seats for the comedy show,Entertainment,nlp_hard
73,upi/jiofiberbroadband/bills,Bills,dictionary
317,IMPS transfer - Udemy,Education,dictionary
146,POS purchase at Exam Registration Fee,Education,dictionary
108,Reimbursement credited from college,Income,nlp_hard
223,POS purchase at College semester fee installment,Education,regex
151,Bought a new pair of shoes,Shopping,nlp_hard
61,imps transf3r - timezone gaming zone,Entertainment,regex
281,Payment to Amazon refund received via UPI,Income,regex
38,Auto-debit - Vodafone Idea electricity bill payment,Bills,regex
267,Reimbursement credited from college,Income,nlp_hard
195,tcs stipend credited,Income,regex
180,POS purchase at Swasthi restaurant bill,Food,regex
113,NEFT credit from Monthly Allowance - Parents,Income,dictionary
425,Auto-debit - Decathlon,Shopping,dictionary
80,Flight booked for the semester break,Travel,nlp_hard
41,Warden collected the room deposit this week,Bills,nlp_hard
401,UPI/AirtelPostpaid/Bills,Bills,dictionary
232,Reliance Trends,Shopping,dictionary
332,neft credit from irctc train ticket booking,Travel,regex
226,Swasthi restaurant bill,Food,regex
376,Hp petrol pump fuel fill,Travel,regex
132,upi transfer - friend,Other,dictionary
258,Tcs stipend credited,Income,regex
445,redbus,Travel,dictionary
388,Sbi b@nk charge deducted,Other,regex
137,POS purchase at Airtel Postpaid,Bills,dictionary
99,Auto-debit - Petty transfer to roommate,Other,regex
278,Annual maint3nance charge for the apartment,Bills,nlp_hard
70,Auto-debit - UPI Transfer - Friend,Other,dictionary
163,IMPS transfer - Local Bookstore,Shopping,dictionary
356,POS purchase at Trendz clothing store,Shopping,regex
176,PVR movie ticket booking,Entertainment,regex
66,DTH recharge - Tata Play,Bills,regex
140,Auto-debit - Bank Charges,Other,dictionary
72,dental appointment payment,Medical,nlp_hard
387,Unclear charge on the statement,Other,nlp_hard
472,Weekend outing with friends at the arcade,Entertainment,nlp_hard
143,Payment to Udemy via UPI,Education,dictionary
386,Flight booked for the semester break,Travel,nlp_hard
152,POS purchase at UPI Transfer - Friend,Other,dictionary
442,IMPS tr@nsfer - Big Bazaar department store,Shopping,regex
240,POS purchase at Apollo Pharmacy,Medical,dictionary
194,Paid entry fee for the college fest,Entertainment,nlp_hard
322,Corner cafe evening snack,Food,regex
115,neft credit from monthly allowance - parents,Income,dictionary
329,POS purchase at Gaming Zone Arcade,Entertainment,dictionary
141,ATM withdrawal at HDFC,Other,regex
283,ordered a gift for a friend online,Shopping,nlp_hard
127,NEFT credit from Workshop fee - IEEE chapter,Education,regex
83,practo consultation,Medical,dictionary
216,pos purchase at practo consultation,Medical,dictionary
245,Bought a study table lamp,Shopping,nlp_hard
231,Small charge deducted by the bank,Other,nlp_hard
215,Booked seats for the comedy show,Entertainment,nlp_hard
109,NEFT credit from Exam Registration Fee,Education,dictionary
413,chai point,Food,dictionary
430,Auto-debit - Chai Point,Food,dictionary
382,Timezone gaming zone,Entertainment,regex
291,Trendz clothing store,Shopping,regex
130,unclear charge on the statement,Other,nlp_hard
335,POS purchase at BESCOM Electricity,Bills,dictionary
58,UPI/LocalTiffinService/Food,Food,dictionary
285,Paid for th3 workshop materials,Education,nlp_hard
320,Treated myself to a milkshake,Food,nlp_hard
79,IMPS transfer - Domino's Pizza,Food,dictionary
135,Picked up a few things from the general store,Shopping,nlp_hard
421,POS purchase at KSRTC bus ticket booking,Travel,regex
34,Payment to Zomato via UPI,Food,dictionary
